patent_id	claim_text	cpc_sequence	cpc_class	cpc_subclass	cpc_group	cpc_type
SYNTH1001	A device implementing secure protocols for genetic editing with dynamic resource allocation.	1	C07	D	20/40	inventive
SYNTH1002	A device implementing secure protocols for data processing with dynamic resource allocation.	1	F24	F	9/32	inventive
SYNTH1002	A device implementing secure protocols for data processing with dynamic resource allocation.	2	H04	L	16/29	additional
SYNTH1003	A method for optimizing optical systems using adaptive algorithms and predictive models.	1	C07	C	35/00	inventive
SYNTH1003	A method for optimizing optical systems using adaptive algorithms and predictive models.	2	G06	Q	9/32	additional
SYNTH1003	A method for optimizing optical systems using adaptive algorithms and predictive models.	3	F24	F	9/32	additional
SYNTH1004	A system comprising components configured to enhance composite manufacturing through real-time feedback.	1	B29	C	20/40	inventive
SYNTH1004	A system comprising components configured to enhance composite manufacturing through real-time feedback.	2	B60	W	11/00	additional
SYNTH1004	A system comprising components configured to enhance composite manufacturing through real-time feedback.	3	C07	D	9/32	additional
SYNTH1005	A method for optimizing network security using adaptive algorithms and predictive models.	1	G06	Q	36/24	inventive
SYNTH1006	A system comprising components configured to enhance energy optimization through real-time feedback.	1	A61	K	9/08	inventive
SYNTH1006	A system comprising components configured to enhance energy optimization through real-time feedback.	2	C12	N	10/0562	additional
SYNTH1007	A process for improving data processing performance using distributed architectures and AI-based tuning.	1	C07	D	30/18	inventive
SYNTH1007	A process for improving data processing performance using distributed architectures and AI-based tuning.	2	G02	B	9/32	additional
SYNTH1007	A process for improving data processing performance using distributed architectures and AI-based tuning.	3	H01	L	11/00	additional
SYNTH1008	A method for optimizing genetic editing using adaptive algorithms and predictive models.	1	H04	W	11/00	inventive
SYNTH1008	A method for optimizing genetic editing using adaptive algorithms and predictive models.	2	G02	B	10/0562	additional
SYNTH1008	A method for optimizing genetic editing using adaptive algorithms and predictive models.	3	B60	W	16/29	additional
SYNTH1009	A method for optimizing chemical synthesis using adaptive algorithms and predictive models.	1	F24	F	15/113	inventive
SYNTH1009	A method for optimizing chemical synthesis using adaptive algorithms and predictive models.	2	G06	Q	36/24	additional
SYNTH1010	A system comprising components configured to enhance chemical synthesis through real-time feedback.	1	G02	B	20/40	inventive
SYNTH1010	A system comprising components configured to enhance chemical synthesis through real-time feedback.	2	G06	F	11/00	additional
SYNTH1011	A system comprising components configured to enhance optical systems through real-time feedback.	1	C12	N	20/40	inventive
SYNTH1011	A system comprising components configured to enhance optical systems through real-time feedback.	2	A61	K	30/18	additional
SYNTH1012	A device implementing secure protocols for network security with dynamic resource allocation.	1	B60	W	5/728	inventive
SYNTH1012	A device implementing secure protocols for network security with dynamic resource allocation.	2	F24	F	20/40	additional
SYNTH1013	A method for optimizing genetic editing using adaptive algorithms and predictive models.	1	G06	Q	213/64	inventive
SYNTH1014	A device implementing secure protocols for composite manufacturing with dynamic resource allocation.	1	H04	L	5/728	inventive
SYNTH1014	A device implementing secure protocols for composite manufacturing with dynamic resource allocation.	2	F24	F	35/00	additional
SYNTH1015	A method for optimizing medical imaging using adaptive algorithms and predictive models.	1	F24	F	213/64	inventive
